DB Class Key,Mouse_symbol,Human_symbol
41937230,Igf2r,IGF2R
41937231,Kcnj11,KCNJ11
41937232,Slc15a2,SLC15A2
41937233,Rhoc,RHOC
41937234,Slc6a4,SLC6A4
41937235,Cnpy1,CNPY1
41937236,Cnpy2,CNPY2
41937237,Cnpy4,CNPY4
41937238,Cnpy3,CNPY3
41937239,Cnn2,CNN2
41937240,Slc39a11,SLC39A11
41937241,Krt87,KRT81
41937241,Krt87,KRT83
41937241,Krt87,KRT86
41937241,Krt87,KRT87P
41937242,Krt85,KRT85
41937243,Krt80,KRT80
41937244,Krt78,KRT78
41937245,Krt81,KRT81
41937246,Krt84,KRT84
41937247,Krt86,KRT86
41937248,Krt83,KRT83
41937248,Krt83,KRT87P
41937249,Krt82,KRT82
41937250,Krt20,KRT20
41937251,Krt35,KRT35
41937252,Krt28,KRT28
41937253,Krt40,KRT40
41937254,Krt26,KRT26
41937255,Krt33a,KRT31
41937255,Krt33a,KRT33A
41937255,Krt33a,KRT34
41937256,Krt25,KRT25
41937257,Krt36,KRT36
41937258,Krt32,KRT32
41937259,Krt27,KRT27
41937260,Krt9,KRT9
41937261,Bpnt1,BPNT1
41937262,St3gal3,ST3GAL3
41937263,St3gal4,ST3GAL4
41937264,6430550D23Rik,C20orf173
41937265,Slc25a37,SLC25A37
41937266,Hbp1,HBP1
41937267,St3gal2,ST3GAL2
41937268,St3gal1,ST3GAL1
41937269,St3gal5,ST3GAL5
41937270,St6gal1,ST6GAL1
41937271,Tmem251,TMEM251
41937272,Arhgef7,ARHGEF7
41937273,St6gal2,ST6GAL2
41937274,Sox1,SOX1
41937275,St6galnac2,ST6GALNAC2
41937276,St6galnac4,ST6GALNAC4
41937277,St6galnac6,ST6GALNAC6
41937278,St8sia5,ST8SIA5
41937279,St8sia6,ST8SIA6
41937280,Aspm,ASPM
41937281,Ckap5,CKAP5
41937282,St3gal6,ST3GAL6
41937283,St8sia4,ST8SIA4
41937284,Ddx42,DDX42
41937285,Eif2b4,EIF2B4
41937286,Zcrb1,ZCRB1
41937287,Fbxo16,FBXO16
41937288,Gnl1,GNL1
41937289,Ddr1,DDR1
41937290,Tcf19,TCF19
41937291,Wnt5a,WNT5A
41937292,Rbm48,RBM48
41937293,Suv39h1,SUV39H1
41937294,Dennd1a,DENND1A
41937295,Rfx6,RFX6
41937296,Nfs1,NFS1
41937297,Cpox,CPOX
41937298,Rtn1,RTN1
41937299,Rtn3,RTN3
41937300,Rtn2,RTN2
41937301,Pdyn,PDYN
41937302,Ptp4a2,PTP4A2
41937303,Ints10,INTS10
41937304,Pomgnt2,POMGNT2
41937305,Prim2,PRIM2
41937306,Mob1b,MOB1B
41937307,Irf6,IRF6
41937308,Gpatch1,GPATCH1
41937309,Lrwd1,LRWD1
41937310,Nop2,NOP2
41937311,Atm,ATM
41937312,Gatad1,GATAD1
41937313,Mpped2,MPPED2
41937314,Amh,AMH
41937315,Otol1,OTOL1
41937316,Vmn2r5,
41937317,Vmn2r7,
41937318,Vmn2r3,
41937319,Vmn2r1,
41937320,Vmn2r4,
41937321,Vmn2r128,
41937322,Vmn2r6,
41937323,Vmn2r2,
41937324,Vmn2r100,
41937325,Vmn2r109,
41937326,Vmn2r105,
41937327,Vmn2r79,
41937328,Vmn2r69,
41937329,Vmn2r114,
41937330,Vmn2r101,
41937331,Vmn2r118,
41937332,Vmn2r67,
41937333,Vmn2r21,
41937334,Vmn2r116,
41937335,Vmn2r96,
41937336,Vmn2r74,
41937337,Vmn2r75,
41937338,Vmn2r60,
41937339,Vmn2r16,
41937340,Vmn2r62,
41937341,Vmn2r97,
41937342,Vmn2r115,
41937343,Vmn2r23,
41937344,Vmn2r-ps158,
41937345,Vmn2r91,
41937346,Vmn2r90,
41937347,Vmn2r124,
41937348,Vmn2r61,
41937349,Vmn2r117,
41937350,Vmn2r53,
41937351,Vmn2r58,
41937352,Vmn2r20,
41937353,Vmn2r59,
41937354,Vmn2r113,
41937355,Vmn2r54,
41937356,Vmn2r95,
41937357,Vmn2r73,
41937358,Vmn2r80,
41937359,Vmn2r99,
41937360,Vmn2r57,
41937361,Vmn2r108,
41937362,Vmn2r82,
41937363,Vmn2r77,
41937364,Vmn2r63,
41937365,Vmn2r92,
41937366,Vmn2r93,
41937367,Vmn2r78,
41937368,Vmn2r22,
41937369,Vmn2r70,
41937370,Vmn2r103,
41937371,Vmn2r26,
41937372,Vmn2r86,
41937373,Vmn2r83,
41937374,Vmn2r56,
41937375,Vmn2r68,
41937376,Vmn2r25,
41937377,Vmn2r106,
41937378,Vmn2r66,
41937379,Vmn2r24,
41937380,Vmn2r110,
41937381,Vmn2r98,
41937382,Vmn2r81,
41937383,Vmn2r71,
41937384,Vmn2r102,
41937385,Vmn2r27,
41937386,Vmn2r107,
41937387,Vmn2r72,
41937388,Vmn2r89,
41937389,Vmn2r130,
41937390,Vmn2r120,
41937391,Vmn2r65,
41937392,Vmn2r104,
41937393,Traf6,TRAF6
41937394,Ptges3,PTGES3
41937395,Irak4,IRAK4
41937396,Rac2,RAC2
41937397,Rac3,RAC3
41937398,Trdmt1,TRDMT1
41937399,Dnmt3a,DNMT3A
41937400,Ak9,AK9
41937401,Atf6,ATF6
41937402,Cmas,CMAS
41937403,Cdpf1,CDPF1
41937404,Atp2b1,ATP2B1
41937405,Cfap54,CFAP54
41937406,Rint1,RINT1
41937407,Socs2,SOCS2
41937408,Sobp,SOBP
41937409,Ncaph2,NCAPH2
41937410,Sco2,SCO2
41937411,Numb,NUMB
41937412,Pias2,PIAS2
41937413,Rrp9,RRP9
41937414,Fgf16,FGF16
41937415,Qtrt2,QTRT2
41937416,Ror2,ROR2
41937417,Cdkn3,CDKN3
41937418,Fgf22,FGF22
41937419,Samd11,SAMD11
41937420,Pold1,POLD1
41937421,Nolc1,NOLC1
41937422,Alg2,ALG2
41937423,Sec31b,SEC31B
41937424,Barx1,BARX1
41937425,Shmt1,SHMT1
41937426,Phf8,PHF8
41937427,Rtn4,RTN4
41937428,Mpl,MPL
41937429,Chn1,CHN1
41937430,Numbl,NUMBL
41937431,Rasgrf2,RASGRF2
41937432,Fgf14,FGF14
41937433,Fanca,FANCA
41937434,Fancg,FANCG
41937435,Flnc,FLNC
41937436,Brca2,BRCA2
41937437,Fry,FRY
41937438,Fance,FANCE
41937439,Fancb,FANCB
41937440,Fancl,FANCL
41937441,Fancc,FANCC
41937442,Adora2b,ADORA2B
41937443,Pik3r1,PIK3R1
41937444,Brix1,BRIX1
41937445,Gcat,GCAT
41937446,Popdc2,POPDC2
41937447,Camsap1,CAMSAP1
41937448,Usp40,USP40
41937449,Edem2,EDEM2
41937450,Nrg1,NRG1
41937451,Hao1,HAO1
41937452,Pnn,PNN
41937453,Smyd1,SMYD1
41937454,Haus2,HAUS2
41937455,Gabpa,GABPA
41937456,Npepps,NPEPPS
41937457,Srgap3,SRGAP3
41937458,Dab1,DAB1
41937459,Tfpi2,TFPI2
41937460,Lhb,CGB1
41937460,Lhb,CGB2
41937460,Lhb,CGB3
41937460,Lhb,CGB5
41937460,Lhb,CGB7
41937460,Lhb,CGB8
41937460,Lhb,LHB
41937461,Zfp598,ZNF598
41937462,Rac1,RAC1
41937463,Vps51,VPS51
41937464,Zswim6,ZSWIM6
41937465,Eya3,EYA3
41937466,Pnpo,PNPO
41937467,Thbs2,THBS2
41937468,Comp,COMP
41937469,Slco2a1,SLCO2A1
41937470,Slco4a1,SLCO4A1
41937471,Slc2a1,SLC2A1
41937472,Slc39a5,SLC39A5
41937473,Slc30a10,SLC30A10
41937474,Bglap,BGLAP
41937475,Bglap2,BGLAP
41937476,Pcp4,PCP4
41937477,Cdh10,CDH10
41937478,Cdh9,CDH9
41937479,Crb2,CRB2
41937480,Crb3,CRB3
41937481,Crb1,CRB1
41937482,Thra,THRA
41937483,Snrpb2,SNRPB2
41937484,Psma2,PSMA2
41937485,Otud7b,OTUD7B
41937486,Pus7,PUS7
41937487,Dhrsx,DHRSX
41937488,Trim11,TRIM11
41937489,Trim39,TRIM39
41937490,Trim17,TRIM17
41937491,Trim68,TRIM68
41937492,Trim27,TRIM27
41937493,Trim21,TRIM21
41937494,Trim58,TRIM58
41937495,Il1rl1,IL1RL1
41937496,Ank3,ANK3
41937497,S1pr4,S1PR4
41937498,Ddx52,DDX52
41937499,Fgf21,FGF21
41937500,Taf5,TAF5
41937501,Gps1,GPS1
41937502,Nptxr,NPTXR
41937503,Topbp1,TOPBP1
41937504,Plcb4,PLCB4
41937505,Slc5a5,SLC5A5
41937506,Calcb,CALCB
41937507,Calca,CALCA
41937507,Calca,CALCB
41937508,Tab1,TAB1
41937509,Xpo7,XPO7
41937510,B4galt5,B4GALT5
41937511,Eif4b,EIF4B
41937512,4833439L19Rik,KIAA1191
41937513,Plod3,PLOD3
41937514,Foxp1,FOXP1
41937515,Rab11fip4,RAB11FIP4
41937516,Pdilt,PDILT
41937517,Nptx2,NPTX2
41937518,Pspc1,PSPC1
41937519,Stra6,STRA6
41937520,Tbc1d1,TBC1D1
41937521,Zfp296,ZNF296
41937522,Cela3b,CELA3A
41937522,Cela3b,CELA3B
41937523,Cela3a,CELA3A
41937523,Cela3a,CELA3B
41937524,Mettl27,METTL27
41937525,Fbln2,FBLN2
41937526,Optc,OPTC
41937527,Epyc,EPYC
41937528,Ints8,INTS8
41937529,Zranb3,ZRANB3
41937530,Mllt3,MLLT3
41937531,Gapdhs,GAPDHS
41937532,Lap3,LAP3
41937533,Bms1,BMS1
41937534,Atl2,ATL2
41937535,Esyt3,ESYT3
41937536,Camkv,CAMKV
41937537,Gng2,GNG2
41937538,Ahi1,AHI1
41937539,Itgb1,ITGB1
41937540,Lrat,LRAT
41937541,Itgb4,ITGB4
41937542,Fabp1,FABP1
41937543,Tom1,TOM1
41937544,Upf3a,UPF3A
41937545,Necap2,NECAP2
41937546,Il12a,IL12A
41937547,Prkca,PRKCA
41937548,Gipc1,GIPC1
41937549,Pdcd11,PDCD11
41937550,Rnf26,RNF26
41937551,Gm9008,RNF26
41937552,Zfyve21,ZFYVE21
41937553,Ctnna2,CTNNA2
41937554,Rere,RERE
41937555,Dock7,DOCK7
41937556,Mink1,MINK1
41937557,Bmp1,BMP1
41937558,C8a,C8A
41937559,A1cf,A1CF
41937560,Pde5a,PDE5A
41937561,Dio2,DIO2
41937562,Proc,PROC
41937563,Slc1a3,SLC1A3
41937564,Rcn3,RCN3
41937565,Arrb1,ARRB1
41937566,Elmod2,ELMOD2
41937567,Dync1li1,DYNC1LI1
41937568,Ddx59,DDX59
41937569,Gchfr,GCHFR
41937570,Hpx,HPX
41937571,Cln8,CLN8
41937572,Scn2a,SCN2A
41937573,Scn9a,SCN9A
41937574,Scn1a,SCN1A
41937575,Scn3a,SCN3A
41937576,Cln5,CLN5
41937577,Scn5a,SCN5A
41937578,Scn10a,SCN10A
41937579,Susd3,SUSD3
41937580,Akip1,AKIP1
41937581,Smap1,SMAP1
41937582,Brd3,BRD3
41937583,F2,F2
41937584,Cyp24a1,CYP24A1
41937585,Chrna5,CHRNA5
41937586,Mat1a,MAT1A
41937587,Sdr16c5,SDR16C5
41937588,Acaa1b,ACAA1
41937589,Acaa1a,ACAA1
41937590,Tom1l2,TOM1L2
41937591,Atp2b2,ATP2B2
41937592,Usp9y,USP9Y
41937593,Usp9x,USP9X
41937594,Fas,FAS
41937595,Cdh7,CDH7
41937596,Fezf1,FEZF1
41937597,Shd,SHD
41937598,Isoc1,ISOC1
41937599,Insm1,INSM1
41937600,Ywhag,YWHAG
41937601,Scp2,SCP2
41937602,Itih4,ITIH4
41937603,Serping1,SERPING1
41937604,Nyx,NYX
41937605,Ahcyl1,AHCYL1
41937606,Hsd17b3,HSD17B3
41937607,Scn7a,SCN7A
41937608,Gatm,GATM
41937609,Cpn1,CPN1
41937610,Krit1,KRIT1
41937611,Serpinf2,SERPINF2
41937612,Lbr,LBR
41937613,Ambp,AMBP
41937614,C9,C9
41937615,Serpina3i,SERPINA3
41937616,Serpina1d,SERPINA1
41937617,Serpina1a,SERPINA1
41937618,Serpina3n,SERPINA3
41937619,Serpina3m,SERPINA3
41937620,Serpina1e,SERPINA1
41937621,Serpina3c,SERPINA3
41937622,Serpina1c,SERPINA1
41937623,Serpina1b,SERPINA1
41937624,Serpina3k,SERPINA3
41937625,Serpina3f,SERPINA3
41937626,Kng2,KNG1
41937627,Kng1,KNG1
41937628,Apoc2l,APOC2
41937629,Apoc2,APOC2
41937630,Apoc1,APOC1
41937631,Olfm1,OLFM1
41937632,Gpt,GPT
41937633,Nupr1,NUPR1
41937634,Dhrs9,DHRS9
41937635,Rpl5,RPL5
41937636,Tbcd,TBCD
41937637,2310057J18Rik,C6orf58
41937638,Furin,FURIN
41937639,Fgg,FGG
41937640,Kin,KIN
41937641,Cers1,CERS1
41937642,Txlng,TXLNG
41937643,4931406B18Rik,SIGLEC1
41937643,4931406B18Rik,SIGLECL1
41937644,Siglech,
41937645,Cd33,CD33
41937645,Cd33,SIGLEC6
41937646,Siglecg,SIGLEC10
41937646,Siglecg,SIGLEC11
41937646,Siglecg,SIGLEC16
41937647,Siglecf,SIGLEC14
41937647,Siglecf,SIGLEC5
41937647,Siglecf,SIGLEC8
41937648,Mex3b,MEX3B
41937649,Slc12a7,SLC12A7
41937650,Vcan,VCAN
41937651,Satb1,SATB1
41937652,Rem1,REM1
41937653,Nbea,NBEA
41937654,Fundc1,FUNDC1
41937655,Lmbr1l,LMBR1L
41937656,Ndrg1,NDRG1
41937657,Strbp,STRBP
41937658,Map7d1,MAP7D1
41937659,Mycl,MYCL
41937659,Mycl,MYCLP1
41937660,Epb41l3,EPB41L3
41937661,Cyria,CYRIA
41937662,Rdh5,RDH5
41937663,Mfap2,MFAP2
41937664,Pcsk9,PCSK9
41937665,Mgp,MGP
41937666,Lipc,LIPC
41937667,Sat2,SAT2
41937668,Lipt1,LIPT1
41937669,Spast,SPAST
41937670,Atp7a,ATP7A
41937671,Fgf12,FGF12
41937672,Bcl3,BCL3
41937673,Metap2,METAP2
41937674,Fut7,FUT7
41937675,Il17d,IL17D
41937676,Il17c,IL17C
41937677,Tbc1d32,TBC1D32
41937678,Fto,FTO
41937679,Cyld,CYLD
41937680,Nkd1,NKD1
41937681,Nod2,NOD2
41937682,Upk3bl,UPK3BL1
41937682,Upk3bl,UPK3BL2
41937683,Upk3b,UPK3B
41937684,Adcy2,ADCY2
41937685,Rbl2,RBL2
41937686,Sdc4,SDC4
41937687,Gria1,GRIA1
41937688,Gria4,GRIA4
41937689,Abcg2,ABCG2
41937690,Foxe1,FOXE1
41937691,Foxp3,FOXP3
41937692,Slc36a3,SLC36A3
41937693,Slc36a1,SLC36A1
41937694,Slc36a2,SLC36A2
41937695,Slc4a4,SLC4A4
41937696,E130311K13Rik,C3orf33
41937697,Smcr8,SMCR8
41937698,Rab6b,RAB6B
41937699,Aldh1a3,ALDH1A3
41937700,Egfl6,EGFL6
41937701,Lrrc28,LRRC28
41937702,Pfdn2,PFDN2
41937703,Slc32a1,SLC32A1
41937704,Large2,LARGE2
41937705,Large1,LARGE1
41937706,Rorb,RORB
41937707,Hadha,HADHA
41937708,Slc5a8,SLC5A8
41937709,Fam110d,FAM110D
41937710,Cdon,CDON
41937711,Maneal,MANEAL
41937712,Rims3,RIMS3
41937713,Cdh13,CDH13
41937714,Kmt2b,KMT2B
41937715,Vwa7,VWA7
41937716,Tm7sf3,TM7SF3
41937717,Gas2l3,GAS2L3
41937718,Kcnh8,KCNH8
41937719,Dennd1b,DENND1B
41937720,Nkain2,NKAIN2
41937721,Cand2,CAND2
41937722,Lrguk,LRGUK
41937723,Ankib1,ANKIB1
41937724,Lrrc14b,LRRC14B
41937725,Nell2,NELL2
41937726,Col8a1,COL8A1
41937727,Twf1,TWF1
41937728,Pus7l,PUS7L
41937729,Kcnj1,KCNJ1
41937730,Jagn1,JAGN1
41937731,Unc13c,UNC13C
41937732,Loxl1,LOXL1
41937733,Adgrg7,ADGRG7
41937734,C1qtnf4,C1QTNF4
41937735,Rnf19b,RNF19B
41937736,Macf1,MACF1
41937737,Cacng7,CACNG7
41937738,Rad51ap1,RAD51AP1
41937739,Ccnd2,CCND2
41937740,Fbxo46,FBXO46
41937741,Sytl1,SYTL1
41937742,Fndc5,FNDC5
41937743,Sult3a1,
41937744,Sult3a2,
41937745,Rrp36,RRP36
41937746,Jtb,JTB
41937747,Insyn1,INSYN1
41937748,Prx,PRX
41937749,Pld3,PLD3
41937750,Snx27,SNX27
41937751,Trim46,TRIM46
41937752,Slc35f1,SLC35F1
41937753,Pln,PLN
41937754,Arsg,ARSG
41937755,Tulp2,TULP2
41937756,Rcsd1,RCSD1
41937757,Fam171a1,FAM171A1
41937758,Nmt2,NMT2
41937759,Eln,ELN
41937760,Plce1,PLCE1
41937761,Limk1,LIMK1
41937762,Trpm2,TRPM2
41937763,Kcnq1,KCNQ1
41937764,Foxe3,FOXE3
41937765,Cd34,CD34
41937766,Trpm4,TRPM4
41937767,Rpp25,RPP25
41937768,Parvb,PARVB
41937769,Ldb3,LDB3
41937770,Epo,EPO
41937771,Tbc1d31,TBC1D31
41937772,Jarid2,JARID2
41937773,Atxn1,ATXN1
41937774,Plekhh1,PLEKHH1
41937775,Pdk3,PDK3
41937776,Pcyt1b,PCYT1B
41937777,Ncdn,NCDN
41937778,Lrrn3,LRRN3
41937779,Aass,AASS
41937780,Hyal4,HYAL4
41937781,Ptchd1,PTCHD1
41937782,Sergef,SERGEF
41937783,Zfa-ps,ZFX
41937783,Zfa-ps,ZFY
41937784,Zfy2,
41937785,Zfy1,
41937786,Zfx,ZFX
41937787,Phf21a,PHF21A
41937788,Tmtc3,TMTC3
41937789,Ap4e1,AP4E1
41937790,Prdm11,PRDM11
41937791,Senp7,SENP7
41937792,Kcnh1,KCNH1
41937793,Bhlhe40,BHLHE40
41937794,Nol8,NOL8
41937795,Rnf217,RNF217
41937796,Tpd52l1,TPD52L1
41937797,Hddc2,HDDC2
41937798,Yjefn3,YJEFN3
41937799,Peds1,PEDS1
41937799,Peds1,PEDS1-UBE2V1
41937800,Atosa,ATOSA
41937801,Tiparp,TIPARP
41937802,Ppp1r15b,PPP1R15B
41937803,Zbtb18,ZBTB18
41937804,Tulp4,TULP4
41937805,Tmem181a,TMEM181
41937806,Gabbr2,GABBR2
41937807,Parp12,PARP12
41937808,Tmprss9,TMPRSS9
41937809,Mylk4,MYLK4
41937810,Pik3c2a,PIK3C2A
41937811,Gmds,GMDS
41937812,Shisa7,SHISA7
41937813,Stim1,STIM1
41937814,Ccdc106,CCDC106
41937815,Tmem238,TMEM238
41937816,Cdk6,CDK6
41937817,Dennd4a,DENND4A
41937818,Hapln4,HAPLN4
41937819,Ncan,NCAN
41937820,Tm6sf1,TM6SF1
41937821,Tm6sf2,TM6SF2
41937822,Tuft1,TUFT1
41937823,Ubap2l,UBAP2L
41937824,Nuggc,NUGGC
41937825,Fpr-rs6,FPR2
41937826,Fpr-rs7,FPR2
41937827,Fpr3,FPR2
41937827,Fpr3,FPR3
41937828,Fpr-rs3,FPR2
41937829,Fpr2,FPR2
41937830,Fpr1,FPR1
41937831,Fpr-rs4,FPR2
41937832,Usf2,USF2
41937833,Ffar2,FFAR2
41937834,Ffar3,FFAR3
41937834,Ffar3,GPR42
41937835,Cited4,CITED4
41937836,Ripor2,RIPOR2
41937837,Acot13,ACOT13
41937838,Tmem64,TMEM64
41937839,Polrmt,POLRMT
41937840,Cma2,
41937841,Mcpt4,
41937842,Mcpt9,
41937843,Mcpt1,
41937844,Gzma,GZMA
41937845,Cma1,CMA1
41937846,Mcptl,
41937847,Mcpt2,
41937848,9530077C05Rik,MATCAP2
41937849,Chtop,CHTOP
41937850,Snapin,SNAPIN
41937851,Sphkap,SPHKAP
41937852,Irf2bp1,IRF2BP1
41937853,Slc19a3,SLC19A3
41937854,Daw1,DAW1
41937855,Borcs6,BORCS6
41937856,Tmem115,TMEM115
41937857,Efhd2,EFHD2
41937858,Taf10,TAF10
41937859,S100a13,S100A13
41937860,S100a14,S100A14
41937861,Sema4a,SEMA4A
41937862,Micos13,MICOS13
41937863,Siae,SIAE
41937864,Clasrp,CLASRP
41937865,Capn12,CAPN12
41937866,Far2,FAR2
41937867,Frs2,FRS2
41937868,Cibar1,CIBAR1
41937869,Lrrc47,LRRC47
41937870,Top2b,TOP2B
41937871,Slc8a2,SLC8A2
41937872,Acsl3,ACSL3
41937873,Kcne4,KCNE4
41937874,Mrpl3,MRPL3
41937875,Ptpn23,PTPN23
41937876,Cspg5,CSPG5
41937877,Slco3a1,SLCO3A1
41937878,Pip5k1c,PIP5K1C
41937879,Bbip1,BBIP1
41937880,Anln,ANLN
41937881,Col8a2,COL8A2
41937882,Atp9b,ATP9B
41937883,Omd,OMD
41937884,Nfatc1,NFATC1
41937885,Kat2b,KAT2B
41937886,Celf5,CELF5
41937887,Lrp12,LRP12
41937888,Vwf,VWF
41937889,Hs6st3,HS6ST3
41937890,Nefm,NEFM
41937891,Tnxb,TNXB
41937892,Bhlhe41,BHLHE41
41937893,Etv1,ETV1
41937894,Mapk4,MAPK4
41937895,Urah,URAHP
41937896,Sesn2,SESN2
41937897,Mapk6,MAPK6
41937898,Chd2,CHD2
41937899,Tex45,TEX45
41937900,Gpr3,GPR3
41937901,Kcnn1,KCNN1
41937902,Fam169b,FAM169BP
41937903,Pglyrp4,PGLYRP4
41937904,Pglyrp1,PGLYRP1
41937905,Pglyrp3,PGLYRP3
41937906,Polr2i,POLR2I
41937907,Pag1,PAG1
41937908,Tax1bp1,TAX1BP1
41937909,Jazf1,JAZF1
41937910,Tle2,TLE2
41937911,Gna15,GNA15
41937912,Gna11,GNA11
41937913,Zfp592,ZNF592
41937914,Cilp2,CILP2
41937915,Lctl,LCTL
41937916,Lonp2,LONP2
41937917,N4bp1,N4BP1
41937918,Rspry1,RSPRY1
41937919,Syvn1,SYVN1
41937920,Rbm3,RBM3
41937921,Cirbp,CIRBP
41937922,Hpse,HPSE
41937923,Helq,HELQ
41937924,Mrps18c,MRPS18C
41937925,Abraxas1,ABRAXAS1
41937926,Spata46,SPATA46
41937927,Galnt12,GALNT12
41937928,Galnt4,GALNT4
41937928,Galnt4,POC1B-GALNT4
41937929,Rbck1,RBCK1
41937930,Bloc1s1,BLOC1S1
41937931,Gls2,GLS2
41937932,Wdyhv1,NTAQ1
41937933,Casd1,CASD1
41937934,Kmt2e,KMT2E
41937935,Asb13,ASB13
41937936,Ankrd16,ANKRD16
41937937,Pclo,PCLO
41937938,Atp6ap2,ATP6AP2
41937939,BC034090,KIAA1614
41937940,Lama3,LAMA3
41937941,Chka,CHKA
41937942,Qpctl,QPCTL
41937943,Sipa1l3,SIPA1L3
41937944,Zfp944,
41937945,Zfp942,
41937946,Ppp1r9a,PPP1R9A
41937947,Zfp947,
41937948,Tent5b,TENT5B
41937949,Cttnbp2,CTTNBP2
41937950,Gon4l,GON4L
41937950,Gon4l,YY1AP1
41937951,Tpm4,TPM4
41937952,Eps8l2,EPS8L2
41937953,Bbs10,BBS10
41937954,Syt1,SYT1
41937955,Tmem253,TMEM253
41937956,Gpcpd1,GPCPD1
41937957,Terb1,TERB1
41937958,Neto2,NETO2
41937959,Npr1,NPR1
41937960,Pdzk1ip1,PDZK1IP1
41937961,Kif14,KIF14
41937962,Hyal2,HYAL2
41937963,Tusc2,TUSC2
41937964,Rad54l2,RAD54L2
41937965,Bap1,BAP1
41937966,Shisa5,SHISA5
41937967,Slc24a1,SLC24A1
41937968,Atrip,ATRIP
41937969,Ripor1,RIPOR1
41937970,Nudt14,NUDT14
41937971,Rps16,RPS16
41937972,Edil3,EDIL3
41937973,Ankrd24,ANKRD24
41937974,Shc2,SHC2
41937975,Cks2,CKS2
41937976,Golgb1,GOLGB1
41937977,Hcls1,HCLS1
41937978,Ints14,INTS14
41937979,Npas1,NPAS1
41937980,Sostdc1,SOSTDC1
41937981,Ankmy2,ANKMY2
41937982,Bzw2,BZW2
41937983,Sync,SYNC
41937984,Otogl,OTOGL
41937985,Svopl,SVOPL
41937986,D630045J12Rik,KIAA1549
41937987,S1pr3,S1PR3
41937988,Hacd3,HACD3
41937989,Trp53bp2,TP53BP2
41937990,Gtpbp2,GTPBP2
41937991,Mov10,MOV10
41937992,Ptprc,PTPRC
41937993,Slc12a3,SLC12A3
41937994,Mrpl54,MRPL54
41937995,Nab1,NAB1
41937996,Plcd4,PLCD4
41937997,Pxk,PXK
41937998,Pdhb,PDHB
41937999,Kctd6,KCTD6
41938000,Ccdc71,CCDC71
41938001,Stab1,STAB1
41938002,Phf14,PHF14
41938003,Myo1g,MYO1G
41938004,Pip4p2,PIP4P2
41938005,Adgrb2,ADGRB2
41938006,Lrriq1,LRRIQ1
41938007,Slc6a15,SLC6A15
41938008,Pianp,PIANP
41938009,Trabd,TRABD
41938010,Mtss2,MTSS2
41938011,Spata4,SPATA4
41938012,Ttc9b,TTC9B
41938013,2310022A10Rik,C19orf47
41938014,Fosb,FOSB
41938015,Cngb1,CNGB1
41938016,Kifc3,KIFC3
41938017,Btbd11,ABTB3
41938018,1700109H08Rik,
41938019,Efcab1,CLXN
41938020,Zmym4,ZMYM4
41938021,C77080,KIAA1522
41938022,Trit1,TRIT1
41938023,Exosc5,EXOSC5
41938024,Tmem91,TMEM91
41938025,Dgkb,DGKB
41938026,Pdgfb,PDGFB
41938027,Fstl5,FSTL5
41938028,Fstl4,FSTL4
41938029,Lect2,LECT2
41938030,Kcnj13,KCNJ13
41938031,Tbce,TBCE
41938032,Nr0b1,NR0B1
41938033,Lin28a,LIN28A
41938034,Hs3st1,HS3ST1
41938035,Hs3st3b1,HS3ST3B1
41938036,Hs3st2,HS3ST2
41938037,Hs3st4,HS3ST4
41938038,Kcnma1,KCNMA1
41938039,Epas1,EPAS1
41938040,Nrxn1,NRXN1
41938041,Dsc3,DSC3
41938042,Dsc2,DSC2
41938043,Dsc1,DSC1
41938044,Nrxn2,NRXN2
41938045,Nrxn3,NRXN3
41938046,Lmf2,LMF2
41938047,Cbfa2t3,CBFA2T3
41938048,Arl15,ARL15
41938049,Dazap1,DAZAP1
41938050,Gaa,GAA
41938051,Fndc7,FNDC7
41938052,Wdr47,WDR47
41938053,Hecw1,HECW1
41938054,Chaf1a,CHAF1A
41938055,Ubxn6,UBXN6
41938056,Ap3d1,AP3D1
41938057,Exoc3l2,EXOC3L2
41938058,Capns1,CAPNS1
41938059,Nova1,NOVA1
41938060,Taf1,TAF1
41938060,Taf1,TAF1L
41938061,Cic,CIC
41938062,Erf,ERF
41938063,Cacna1i,CACNA1I
41938064,Creb3l3,CREB3L3
41938065,Camsap3,CAMSAP3
41938066,Xab2,XAB2
41938067,Chrna10,CHRNA10
41938068,Tap1,TAP1
41938069,Sel1l3,SEL1L3
41938070,Sh3pxd2a,SH3PXD2A
41938071,Swap70,SWAP70
41938072,Ampd3,AMPD3
41938073,Inha,INHA
41938074,Cfap45,CFAP45
41938075,Grin1,GRIN1
41938076,Inka1,INKA1
41938077,Ywhab,YWHAB
41938078,Gstt4,GSTT4
41938079,Gstt2,GSTT2
41938079,Gstt2,GSTT2B
41938080,Gstt3,
41938081,Gstt1,GSTT1
41938082,Hyou1,HYOU1
41938083,Sgk1,SGK1
41938084,Gars,GARS1
41938085,Pih1d1,PIH1D1
41938086,Eif4ebp1,EIF4EBP1
41938087,Colgalt2,COLGALT2
41938088,Bsdc1,BSDC1
41938089,Ewsr1,EWSR1
41938090,Grhpr,GRHPR
41938091,Hsd11b2,HSD11B2
41938092,Taldo1,TALDO1
41938093,Uba1,UBA1
41938094,Uba1y,
41938095,Hspa9,HSPA9
41938096,Gpx6,GPX6
41938097,Gpx5,GPX5
41938098,Gpx3,GPX3
